Winery,Year,Wine_ID,Wine,Rating,Reviews,Price,Region,Primary_Grape,Natural,Country,Style,Country_Code
El Enemigo,2016,5441683,Gran Enemigo Single Vineyard El Cepillo Cabernet Franc 2016,4.6,1365,121.0,San Carlos,Malbec,False,Argentina,Red,ARG
Luigi Bosca,2015,52044,Icono 2015,4.6,181,134.9,Luján de Cuyo,Malbec,False,Argentina,Red,ARG
Catena Zapata,2018,4835815,Adrianna Vineyard River Stones Malbec 2018,4.8,40,149.04,Mendoza,Malbec,False,Argentina,Red,ARG
Catena Zapata,2017,4835815,Adrianna Vineyard River Stones Malbec 2017,4.5,199,154.9,Mendoza,Malbec,False,Argentina,Red,ARG
Catena Zapata,2016,5107190,Adrianna Vineyard Mundus Bacillus Terrae Malbec 2016,4.5,97,225.5,Tupungato,Malbec,False,Argentina,Red,ARG
Elsa Bianchi,2017,1505189,Cabernet Sauvignon 2017,3.5,151,8.49,Mendoza,Malbec,False,Argentina,Red,ARG
Nieto Senetiner,2016,1267101,Benjamin Cabernet Sauvignon 2016,3.3,2231,7.3,Luján de Cuyo,Malbec,False,Argentina,Red,ARG
Matías Riccitelli,2018,6816786,Old Vines Bastardo 2018,4.1,65,55.65,Río Negro,Malbec,False,Argentina,Red,ARG
Bodega Piedra Negra,2014,1136459,Gran Malbec Mendoza 2014,4.0,369,44.27,Valle de Uco,Malbec,False,Argentina,Red,ARG
Goyenechea,2015,74323,Merlot Rosé 2015,3.2,32,19.99,San Rafael,Malbec,False,Argentina,Rose,ARG
Don Cristobal,2020,1183840,1492 Merlot - Bonarda - Sangiovese 2020,3.2,52,6.9,Mendoza,Malbec,False,Argentina,Red,ARG
Don Cristobal,2018,1543290,Bonarda 2018,3.6,86,7.5,Mendoza,Malbec,False,Argentina,Red,ARG
Dubois,N.V.,1713725,Demi Sec N.V.,3.1,152,2.5,Mendoza,Malbec,False,Argentina,Sparkling,ARG
Bodega Finca Las Moras,2019,1398258,Dadá Art 2 2019,3.8,603,7.4,San Juan,Malbec,False,Argentina,Red,ARG
Bodega Finca Las Moras,2019,1424253,Dadá Art 1 2019,3.8,812,7.4,San Juan,Malbec,False,Argentina,Red,ARG
Bodega del Fin del Mundo,2019,1832542,Ventus Sauvignon Blanc - Chardonnay 2019,2.7,46,11.68,Patagonia,Malbec,False,Argentina,White,ARG
Rutini,1993,1223420,Felipe Rutini 1993,4.6,54,149.0,Tupungato,Malbec,False,Argentina,Red,ARG
Jose Luis Mounier,2019,1639459,Finca las Nubes Cabernet - Malbec 2019,3.7,87,11.5,Salta,Malbec,False,Argentina,Red,ARG
Rutini,1999,1223420,Felipe Rutini 1999,4.6,176,198.0,Tupungato,Malbec,False,Argentina,Red,ARG
Dieter Meier,2017,2492507,Puro Grape Selection Malbec 2017,4.3,203,31.49,Mendoza,Malbec,False,Argentina,Red,ARG
El Enemigo,2017,5441683,Gran Enemigo Single Vineyard El Cepillo Cabernet Franc 2017,4.7,44,69.93,San Carlos,Malbec,False,Argentina,Red,ARG
El Enemigo,2012,5441683,Gran Enemigo Single Vineyard El Cepillo Cabernet Franc 2012,4.4,314,85.0,San Carlos,Malbec,False,Argentina,Red,ARG
Chakana,2018,1256605,Malbec Ayni 2018,3.9,151,26.38,Mendoza,Malbec,False,Argentina,Red,ARG
Luigi Bosca,2020,2141966,Malbec 2020,4.2,175,16.0,Mendoza,Malbec,False,Argentina,Red,ARG
Terrazas de los Andes,2017,1181213,Altos del Plata Cabernet Sauvignon 2017,3.7,664,11.95,Mendoza,Malbec,False,Argentina,Red,ARG
Kaiken,2018,71444,Cabernet Sauvignon Reserva 2018,3.8,35,6.99,Mendoza,Malbec,False,Argentina,Red,ARG
Finca La Celia,2016,5054959,Pioneer Malbec 2016,3.7,1564,16.95,Valle de Uco,Malbec,False,Argentina,Red,ARG
Terrazas de los Andes,2017,1264703,Altos del Plata Chardonnay 2017,3.5,596,11.95,Mendoza,Malbec,False,Argentina,White,ARG
Terrazas de los Andes,2016,1181213,Altos del Plata Cabernet Sauvignon 2016,3.5,942,14.95,Mendoza,Malbec,False,Argentina,Red,ARG
Bodega Piedra Negra,2018,1245706,Reserve Malbec Mendoza 2018,4.0,847,17.95,Mendoza,Malbec,False,Argentina,Red,ARG
Séptima,2020,1865689,Obra Malbec 2020,3.8,92,15.95,Luján de Cuyo,Malbec,False,Argentina,Red,ARG
Catena Alta,2007,1870,Malbec 2007,4.2,660,49.0,Mendoza,Malbec,False,Argentina,Red,ARG
Luigi Bosca,2019,1178851,Cabernet Sauvignon 2019,3.9,409,15.29,Mendoza,Malbec,False,Argentina,Red,ARG
Luigi Bosca,2018,52084,Finca Los Nobles Field Blend Malbec - Verdot 2018,4.4,318,51.5,Las Compuertas,Malbec,False,Argentina,Red,ARG
Chacra,2014,1157381,Barda Pinot Noir 2014,3.9,886,22.5,Patagonia,Malbec,False,Argentina,Red,ARG
Catena Zapata,2016,5007190,Adrianna Vineyard Fortuna Terrae Malbec 2016,4.6,251,85.0,Mendoza,Malbec,False,Argentina,Red,ARG
La Linda,2020,51824,Malbec 2020,4.0,2512,10.95,Mendoza,Malbec,False,Argentina,Red,ARG
La Linda,2021,51824,Malbec 2021,3.9,145,10.9,Mendoza,Malbec,False,Argentina,Red,ARG
Colomé,2020,2144958,Lote Especial Malbec La Brava 2020,4.1,77,19.9,Valle de Cafayate,Malbec,False,Argentina,Red,ARG
Séptima,2012,1126740,Gran Reserva 2012,4.1,2995,21.0,Mendoza,Malbec,False,Argentina,Red,ARG
Colomé,2019,1689618,Torrontés 2019,4.0,237,12.8,Valles Calchaquíes,Malbec,False,Argentina,White,ARG
Luigi Bosca,2019,9591857,De Sangre Edición Limitada Malbec 2019,4.1,94,17.6,Paraje Altamira,Malbec,False,Argentina,Red,ARG
Terrazas de los Andes,2019,4168636,High Altitude Vineyards Chardonnay 2019,3.8,225,16.9,Mendoza,Malbec,False,Argentina,White,ARG
François Lurton,2004,13610,Chacayes 2004,4.3,69,66.67,Mendoza,Malbec,False,Argentina,Red,ARG
Catena,2017,1268655,Cabernet Sauvignon 2017,4.0,2154,15.4,Mendoza,Malbec,False,Argentina,Red,ARG
Terrazas de los Andes,2017,3481,Reserva Cabernet Sauvignon 2017,4.0,27,24.17,Mendoza,Malbec,False,Argentina,Red,ARG
Bodega Noemìa,2017,1166363,J. Alberto 2017,4.2,84,44.83,Río Negro,Malbec,False,Argentina,Red,ARG
Mi Terruño,2017,1605319,Expresión Malbec 2017,3.8,305,12.1239593350734,Maipú,Malbec,False,Argentina,Red,ARG
Catena Zapata,2016,68744,Nicasia Vineyard Altamira Malbec 2016,4.3,221,70.0,Paraje Altamira,Malbec,False,Argentina,Red,ARG
Tikal,2014,81980,Amorío Malbec 2014,4.1,1240,29.72,Mendoza,Malbec,False,Argentina,Red,ARG
Zuccardi,2019,1206786,Serie A Torrontés 2019,3.8,832,12.5,Salta,Malbec,False,Argentina,White,ARG
Zuccardi,2015,4320448,Aluvional Altamira 2015,4.3,441,70.0,Paraje Altamira,Malbec,False,Argentina,Red,ARG
Andeluna,2020,80339,1300 Malbec 2020,3.7,271,8.9,Tupungato,Malbec,False,Argentina,Red,ARG
Nieto Senetiner,2020,82417,Malbec 2020,3.7,402,14.072349893273088,Mendoza,Malbec,False,Argentina,Red,ARG
Catena,2016,2447444,Appellation San Carlos Cabernet Franc 2016,4.1,550,20.03,San Carlos,Malbec,False,Argentina,Red,ARG
El Enemigo,2018,1239572,Syrah - Viognier 2018,4.3,163,19.25,Mendoza,Malbec,False,Argentina,Red,ARG
Cheval des Andes,2015,1926899,Mendoza 2015,4.4,1290,88.0,Mendoza,Malbec,False,Argentina,Red,ARG
Kaiken,2018,4344305,Obertura Cabernet Franc 2018,4.0,43,31.79,Mendoza,Malbec,False,Argentina,Red,ARG
El Enemigo,2013,1235058,Gran Enemigo 2013,4.5,1825,105.0,Mendoza,Malbec,False,Argentina,Red,ARG
Trapiche,2017,22238,Terroir Series Coletto Malbec 2017,4.2,141,31.5,Mendoza,Malbec,False,Argentina,Red,ARG
Altosur,2018,1743262,Malbec 2018,3.7,2243,7.95,Tupungato,Malbec,False,Argentina,Red,ARG
Trapiche,2019,1924253,Pure Malbec 2019,3.6,1336,8.95,Valle de Uco,Malbec,False,Argentina,Red,ARG
San Pedro de Yacochuya,2020,1105351,Torrontes 2020,4.1,70,20.55,Valle de Cafayate,Malbec,False,Argentina,White,ARG
